avg(cnt_crime),avg(cnt_cctv),avg(dense_population),avg(cnt_light),avg(cnt_police),avg(female_population),avg(cnt_notify),avg(cnt_population),region
7543.5714,4529,14084.5714,8887.4286,24.7143,261914.5714,170421.4286,556352.7143,gangnam
4163.7143,1674,18328.7143,8634.4286,20.1429,212260,89579.7143,450704.4286,gangdong
3460.7143,1390.8571,13607.4286,7433.5714,13,154574,74903.4286,321124.8571,gangbuk
4862,1677.2857,14388.1429,5860.7143,16,287358.8571,114848,596229,gangseo
5372.4286,3796,17499.8571,4857.1429,12.2857,253621.8571,112705,517456.1429,gwanak
4355.8571,1718.1429,21519.5714,8152.2857,21.5714,181476.8571,86648.5714,367193.2857,gwangjin
4726.4286,3196.7143,21849.7143,5947.1429,18.4286,212753.4286,86006.5714,439610.1429,guro
3160.8571,1487.7143,19342.5714,5478,26,120722.1429,63704.2857,251839.8571,geumcheon
4172.8571,1653.4286,15459.4286,4388.2857,15.4286,265683.7143,28858.4286,547849.8571,nowon
2214.1429,1020.7143,16407,4499,10.4286,162298.7143,89983.4286,339108.7143,dobong
3887.7143,1722.8571,25591.7143,9302.2857,18.5714,177716.1429,54898.8571,363789.7143,dongdaemun
3280.2857,1563.4286,24884.2857,6441.2857,22,199861.5714,69205.4286,406963.8571,dongjak
4892.4286,1575.1429,16220.2857,5910.1429,11.8571,190437.2857,107486.2857,386835.5714,mapo
3051.8571,2240.8571,18313.2857,8084.5714,17.2857,162843.1429,64242.4286,322695.1429,seodaemun
4809.4286,2554.2857,9324,7816.5714,17.1429,205641.2857,98123.5714,438085.4286,seocho
2656.2857,2478.7143,18163,7849.5714,13.2857,147371.1429,57321.4286,306222.2857,seongdong
3175.5714,2972,18462.8571,7669.2857,18.1429,223697.4286,75245.1429,453744.7143,seongbuk
5724.7143,1667.5714,19811.4286,5243,13,317456.4286,127502.5714,671105.4286,songpa
3640.2857,2322.4286,26957.7143,9287.2857,16.1429,219399.5714,74413.2857,469224.4286,yangcheon
5744.8571,2503.5714,16527.7143,5542.8571,17.7143,195884.1429,113342.1429,405639.2857,yeongdeungpo
3441.5714,1603,11169.5714,5190.1429,20.2857,113818.5714,73440.8571,244237.1429,yongsan
3890.4286,2451,16460.8571,12161.2857,20.8571,233652.4286,86552.2857,489020.7143,eunpyeong
4050.1429,1449.1429,13509.1429,13093.4286,21.7143,65017,128958.7143,134553.4286,jung
4328.1429,1946,22002.7143,7724.4286,17.4286,193835.5714,87161,406956.4286,jungnang
3481.4,1574.4,6707,14170.2,24,76959.2,73252.4,160387.4,jongno
